,GLID_FORW,ACCEL_FORW,GLID_BACK,ACCEL_BACK,TRANS_FORW_TO_BACK,TRANS_BACK_TO_FORW,POST_WHISTLE_GLIDING,FACEOFF_BODY_POSITION,MAINTAIN_POSITION,PRONE,ON_A_KNEE
GLID_FORW,0.8634515840537684,0.09866121033090328,0.0,0.0,0.029418141413046422,0.0,0.0035366812108729236,0.0006910756389062033,0.0029946611019268815,0.0008265806661427138,0.00042006558443318247
ACCEL_FORW,0.2216141126062797,0.7700843542880097,0.0,0.0,0.007381000200843544,0.0,0.0005188458191069157,0.00018410658097342173,0.00018410658097342173,1.67369619066747e-05,1.67369619066747e-05
GLID_BACK,0.0,0.0,0.7137711509465572,0.0905511811023622,0.0,0.17515496733121128,0.004272072373931982,0.001759088624560228,0.014324007371419,8.376612497905847e-05,8.376612497905847e-05
ACCEL_BACK,0.0,0.0,0.336591086786552,0.4616888193901486,0.0,0.1997654417513683,0.00039093041438623935,0.00039093041438623935,0.00039093041438623935,0.00039093041438623935,0.00039093041438623935
TRANS_FORW_TO_BACK,0.00027847396268448904,0.00027847396268448904,0.8969646338067393,0.06432748538011697,0.033695349484823174,0.00306321358952938,0.00027847396268448904,0.00027847396268448904,0.00027847396268448904,0.00027847396268448904,0.00027847396268448904
TRANS_BACK_TO_FORW,0.1959018938217944,0.655386525923626,0.009624340266997825,0.006519714374417881,0.00031046258925799435,0.12760012418503566,0.00031046258925799435,0.00031046258925799435,0.00031046258925799435,0.00031046258925799435,0.0034150884818379378
POST_WHISTLE_GLIDING,0.00030021014710297203,0.00030021014710297203,0.003302311618132692,0.00030021014710297203,0.003302311618132692,0.00030021014710297203,0.9909936955869106,0.00030021014710297203,0.00030021014710297203,0.00030021014710297203,0.00030021014710297203
FACEOFF_BODY_POSITION,0.003348748206027747,0.047998724286397704,0.00015946420028703558,0.008132674214638813,0.0017541062031573912,0.00015946420028703558,0.00015946420028703558,0.9330250358794451,0.004943390208898103,0.00015946420028703558,0.00015946420028703558
MAINTAIN_POSITION,0.00301287318542865,0.10709394686387293,0.00301287318542865,0.016707751301013422,0.005751848808545605,0.005751848808545605,0.00301287318542865,0.024924678170364284,0.830183511366749,0.00027389756231169547,0.00027389756231169547
PRONE,0.0021691973969631237,0.023861171366594363,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.8264642082429501,0.13232104121475052
ON_A_KNEE,0.0058479532163742695,0.06432748538011697,0.0058479532163742695,0.0058479532163742695,0.0058479532163742695,0.0058479532163742695,0.0058479532163742695,0.0058479532163742695,0.0058479532163742695,0.06432748538011697,0.8245614035087719
